listing_id,artist,title,label,catalog_number,year,format,format_details,media_condition,sleeve_condition,price,status,ships_from,comments
3747978010,Lester Bowie's Brass Fantasy,Twilight Dreams,Venture,VE 2,1987,"LP, Album",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 2.6,For Sale,United Kingdom,LOOKS BARELY PLAYED - IF AT ALL.  FROM A WONDERFUL MODERN JAZZ COLLECTION.
3747978064,Linda Lewis,That's Love (Habanera),Ariola,ARO 231,1980,"7""",,Near Mint (NM or M-),Generic,GBP 2.49,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - COMPANY SLEEVE - SUPERB !
3747978088,Lindisfarne,Fog On The Tyne,"Charisma, Virgin",CHC 52,0,"LP, Album, RE, RP, Gat",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 9.89,For Sale,United Kingdom,LIKE NEW ! STUNNING ! BEST ON DISCOGS.
3747978079,Linda Ronstadt And James Ingram,Somewhere Out There,MCA Records,MCA 1132,1987,"7"", Single",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 1.23,For Sale,United Kingdom,SOME MISTING IN THE RUN OFFS ONLY.
3747978097,Linx,Go Ahead,Chrysalis,CHR 1358,1981,"LP, Album",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 5.84,For Sale,United Kingdom,LIGHT WEAR ONLY - PLAYS EXCELLENT. NM INNER. SIGNED TO WAYNE BY SKETCH &amp; DAVID. 
3747978046,Lewis Carroll,Alice In Wonderland,Music For Pleasure,MFP 1013,1985,"2xLP, RE",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 9.89,For Sale,United Kingdom,LOOKS UNPLAYED ! SUPERB ! MAKES £25 ON EBAY.  DIRK BOGARDE !
3747978181,Little River Band,Help Is On It's Way,EMI,12 EMI 2632,1977,"12""",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 1.6,For Sale,United Kingdom,EMI FACTORY SAMPLE STICKER ON THE LABEL
3747978193,Liza Minnelli,Liza With A ‘Z’. A Concert For Television,"CBS, CBS, CBS","CBS S 65212, S 65212, KC 31762",1972,"LP, Album",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 5.71,For Sale,United Kingdom,VG++ SLEEVE. LOOKS UNPLAYED ! BEST ON DISCOGS !
3747978166,Little Richard,22 Original Hits,"Warwick Records, Warwick Records","WW5034, WW 5034",1977,"LP, Comp",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 2.03,For Sale,United Kingdom,SOUGHT AFTER ALBUM.
3747978199,Lloyd Price,The Best Of,Pickwick,SPC 3630,1978,"LP, Comp",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 9.0,For Sale,United Kingdom,NM- VINYL. ONE SMALL LIGHT MARK ONLY. VG++ SLEEVE (LIGHT SCUFFING). CLIPPED EDGE IMPORT (3MM). ONLY UK SELLERS. PICKWICK INNER BAG.
3747978145,"Lita Roza, Dennis Lotis",The Ted Heath Years,Decca,SPA 497,1977,"LP, Album",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.76,For Sale,United Kingdom,A LOVELY EXAMPLE.
3747978202,Lobo,The Caribbean Disco Show,"Polydor, Polydor","POSP 302, 2059 383",1981,"7"", Single",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 0.58,For Sale,United Kingdom,IN HARD TO SOURCE COMPANY SLEEVE PRINTED P/S
3747978121,Lionel Richie,Lionel Richie,Motown,STMA 8037,1982,"LP, Album, Gat",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 5.74,For Sale,United Kingdom,VG+ INNER (A VERY SMALL EDGE SPLIT) WILL BE SENT IN A NEW WHITE SLEEVE AS WELL. BEST ON DISCOGS.
3747978148,Little Benny & The Masters,Who Comes To Boogie,Bluebird,BR 13,1985,"7"", Single",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 1.13,For Sale,United Kingdom,PAPER PICTURE SLEEVE.
3747978154,Little Boy Blues*,Nothing Left To Say,Numero Group,NUM706,2014,"7"", Single",,Mint (M),Mint (M),GBP 10.55,For Sale,United Kingdom,DEADSTOCK. UNPLAYED. MADE TO LOOK OLD THE BACK. 
3747978172,Little Richard,The Little Richard Story,Joy Special,JS 5003/4,1968,"2xLP, Album, Comp, Gat",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 11.41,For Sale,United Kingdom,SUMPTUOUS DOUBLE PACKAGE WITH IT ORIGINAL GOLD STAR PRICE STICKER OF 39/10. GET THE BEST !
